#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
53	B0905-51	0.253557725	1.83E-15	0.341	-0.018	-0.34	8.487	2.19E+06	6.90E+11	4.40E+33
54	J1719-1438	0.005790152	8.04E-21	0.341	0.076	0.051	8.171	1.14E+10	2.18E+08	1.60E+33
55	J0912-3851	1.526085076	3.59E-15	0.346	0.04	-0.341	8.541	6.74E+06	2.37E+12	4.00E+31
56	B0932-52	1.444777141	4.65E-15	0.349	-0.004	-0.347	8.465	4.92E+06	2.62E+12	6.10E+31
57	J0945-4833	0.331585599	4.83E-15	0.352	0.023	-0.35	8.474	1.09E+06	1.28E+12	5.20E+33
58	B0826-34	1.848918804	9.96E-16	0.354	0.016	-0.34	8.598	2.94E+07	1.37E+12	6.20E+30
59	J0919-6040	1.216975723	1.00E-17	0.355	-0.048	-0.347	8.441	1.93E+09	1.12E+11	2.20E+29
60	J0815+4611	0.434242252	3.90E-18	0.358	0.197	0.033	8.797	1.76E+09	4.16E+10	1.90E+30
61	J0905-6019	0.340854177	5.22E-16	0.359	-0.055	-0.351	8.449	1.03E+07	4.27E+11	5.20E+32
62	J0932-5327	4.392158713	8.37E-15	0.359	-0.009	-0.357	8.463	8.31E+06	6.14E+12	3.90E+30
63	B0957-47	0.67008587	8.47E-17	0.361	0.034	-0.358	8.464	1.25E+08	2.41E+11	1.10E+31
64	B1001-47	0.307074219	2.07E-15	0.369	0.039	-0.365	8.461	2.35E+06	8.07E+11	2.80E+33
65	B0855-61	0.962510611	1.68E-15	0.37	-0.067	-0.36	8.446	9.08E+06	1.29E+12	7.40E+31
66	J0709-5923	0.485268384	1.26E-16	0.371	-0.132	-0.347	8.5	6.10E+07	2.50E+11	4.40E+31
67	B1133+16	1.187913066	3.73E-15	0.372	0.348	-0.116	8.562	5.04E+06	2.13E+12	8.80E+31
68	J0656-5449	0.183156899	3.19E-17	0.372	-0.134	-0.346	8.531	9.09E+07	7.74E+10	2.10E+32
69	J0940-5428	0.087545204	3.29E-14	0.377	-0.009	-0.374	8.451	4.22E+04	1.72E+12	1.90E+36
70	J0636-4549	1.984597367	3.17E-15	0.383	-0.141	-0.343	8.595	9.91E+06	2.54E+12	1.60E+31
71	J0849-6322	0.367953256	7.91E-16	0.383	-0.081	-0.369	8.439	7.37E+06	5.46E+11	6.30E+32
72	J1744-1134	0.004074546	8.93E-21	0.395	0.063	0.1	8.123	7.23E+09	1.93E+08	5.20E+33
73	J0941-5244	0.658557614	1.14E-15	0.398	0.001	-0.395	8.455	9.17E+06	8.76E+11	1.60E+32
74	B0450-18	0.548939223	5.75E-15	0.4	-0.224	-0.2	8.764	1.51E+06	1.80E+12	1.40E+33
75	J0720-3125	8.391115532	6.98E-14	0.4	-0.057	-0.356	8.673	1.90E+06	2.45E+13	4.70E+30
76	B1737-30	0.606886624	4.66E-13	0.4	0.002	-0.012	8.1	2.06E+04	1.70E+13	8.20E+34
77	B0953-52	0.862122011	3.53E-15	0.401	0.008	-0.397	8.442	3.87E+06	1.76E+12	2.20E+32
78	B0941-56	0.808164371	3.96E-14	0.406	-0.021	-0.4	8.434	3.23E+05	5.73E+12	3.00E+33
79	J2124-3358	0.004931115	2.06E-20	0.41	-0.292	0.055	8.218	3.80E+09	3.22E+08	6.80E+33
80	B0655+64	0.195670945	6.85E-19	0.413	0.176	0.178	8.828	4.52E+09	1.17E+10	3.60E+30
81	J0932-3217	1.931626743	2.50E-16	0.414	0.101	-0.397	8.561	1.22E+08	7.03E+11	1.40E+30
82	J0621+1002	0.028853861	4.73E-20	0.42	-0.015	-0.147	8.893	9.67E+09	1.18E+09	7.80E+31
83	J1231-1411	0.003683879	2.28E-20	0.42	0.314	-0.252	8.38	2.56E+09	2.93E+08	1.80E+34
84	J0818-3049	0.763741848	5.80E-16	0.422	0.021	-0.396	8.644	2.09E+07	6.73E+11	5.10E+31
85	B1451-68	0.263376907	9.90E-17	0.43	-0.064	-0.307	8.205	4.22E+07	1.63E+11	2.10E+32
86	B0809+74	1.292241447	1.68E-16	0.432	0.226	0.236	8.782	1.22E+08	4.72E+11	3.10E+30
87	J1001-5559	1.66117674	8.60E-16	0.432	-0.005	-0.424	8.42	3.06E+07	1.21E+12	7.40E+30
88	J0954-5430	0.472850559	4.39E-14	0.433	-0.001	-0.428	8.432	1.71E+05	4.61E+12	1.60E+34
89	J0957-5432	0.203556698	1.95E-15	0.449	0.002	-0.443	8.426	1.66E+06	6.37E+11	9.10E+33
90	J0818-3232	2.161258927	7.53E-16	0.484	0.016	-0.458	8.655	4.55E+07	1.29E+12	2.90E+30
91	B1657-13	0.6409582	6.18E-16	0.485	0.147	0.06	8.042	1.64E+07	6.37E+11	9.30E+31
92	J2307+2225	0.535828895	8.70E-18	0.494	-0.28	0.407	8.525	9.76E+08	6.91E+10	2.20E+30
93	B0823+26	0.530660512	1.71E-15	0.498	0.262	-0.123	8.905	4.92E+06	9.64E+11	4.50E+32
94	B0853-33	1.267535703	6.32E-15	0.503	0.066	-0.486	8.613	3.18E+06	2.86E+12	1.20E+32
95	J1710+4923	0.003220228	1.82E-20	0.506	0.301	0.395	8.401	2.80E+09	2.45E+08	2.20E+34
96	B0922-52	0.746338052	3.53E-14	0.513	-0.017	-0.511	8.458	3.35E+05	5.20E+12	3.40E+33
97	J0453+1559	0.045781817	1.86E-19	0.522	-0.154	-0.036	8.998	3.90E+09	2.95E+09	7.70E+31
98	B0950-38	1.373815121	5.80E-16	0.523	0.109	-0.511	8.512	3.75E+07	9.03E+11	8.80E+30
99	J0934-4154	0.570409236	2.69E-16	0.53	0.068	-0.525	8.515	3.36E+07	3.96E+11	5.70E+31
100	J1603-7202	0.014841952	1.56E-20	0.53	-0.133	-0.352	8.127	1.50E+10	4.87E+08	1.90E+32
101	B0609+37	0.297982327	5.95E-17	0.535	0.085	0.042	9.027	7.94E+07	1.35E+11	8.90E+31
102	B0844-35	1.116098409	1.60E-15	0.535	0.044	-0.52	8.618	1.10E+07	1.35E+12	4.60E+31
103	B1952+29	0.426676787	1.71E-18	0.536	0.007	0.489	8.281	3.95E+09	2.73E+10	8.70E+29
104	J1628+4406	0.18117849	1.94E-17	0.54	0.373	0.366	8.361	1.48E+08	6.00E+10	1.30E+32
105	J0540-7125	1.286014595	8.20E-16	0.547	-0.284	-0.457	8.402	2.48E+07	1.04E+12	1.50E+31
106	B0559-57	2.261364513	2.78E-15	0.553	-0.271	-0.481	8.529	1.29E+07	2.54E+12	9.50E+30
107	J0835-3707	0.541404374	9.78E-15	0.555	0.019	-0.541	8.624	8.77E+05	2.33E+12	2.40E+33
108	J0749-4247	1.095452158	9.77E-16	0.56	-0.081	-0.54	8.624	1.78E+07	1.05E+12	2.90E+31
109	B1706-16	0.653053971	6.31E-15	0.562	0.133	0.055	7.957	1.64E+06	2.05E+12	8.90E+32
