#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
571	J0631+1036	0.287800022	1.05E-13	2.105	0.017	-0.762	10.462	4.36E+04	5.55E+12	1.70E+35
572	J1932+1756	0.041831288	4.32E-19	2.116	-0.019	1.7	7.24	1.53E+09	4.30E+09	2.30E+32
573	B0105+65	1.283659843	1.31E-14	2.128	0.123	1.747	9.708	1.56E+06	4.14E+12	2.40E+32
574	B0144+59	0.196321375	2.57E-16	2.128	-0.101	1.627	9.868	1.21E+07	2.27E+11	1.30E+33
575	J1501-0046	0.464036814	2.39E-16	2.131	1.585	-0.085	7.078	3.07E+07	3.37E+11	9.40E+31
576	J1047-3032	0.330328052	6.10E-17	2.144	0.91	-1.938	8.382	8.58E+07	1.44E+11	6.70E+31
577	J1912+2525	0.621976245	2.25E-16	2.15	0.264	1.808	7.367	4.38E+07	3.79E+11	3.70E+31
578	J2021+4026	0.265317661	5.47E-14	2.15	0.078	2.103	8.062	7.69E+04	3.85E+12	1.20E+35
579	J1413-6205	0.1097407	2.77E-14	2.15	-0.028	-1.588	7.051	6.28E+04	1.76E+12	8.30E+35
580	J1106-6438	2.717934136	2.33E-15	2.153	-0.151	-1.991	7.696	1.85E+07	2.54E+12	4.60E+30
581	J1941+0121	0.217317452	1.91E-16	2.155	-0.39	1.36	6.874	1.80E+07	2.06E+11	7.40E+32
582	J1152-5800	1.789829466	1.30E-15	2.156	0.149	-1.947	7.587	2.21E+07	1.53E+12	8.80E+30
583	J2317+1439	0.003445251	2.43E-21	2.16	-1.455	1.596	8.538	2.25E+10	9.26E+07	2.30E+33
584	J2016+1948	0.064940388	4.01E-19	2.162	-0.326	1.861	7.448	2.57E+09	5.16E+09	5.80E+31
585	J2355+2246	1.840985907	3.78E-15	2.163	-1.341	1.627	8.983	7.72E+06	2.67E+12	2.40E+31
586	J1035-6345	0.579576736	3.50E-16	2.167	-0.18	-2.048	7.814	2.62E+07	4.56E+11	7.10E+31
587	B1848+13	0.345581898	1.49E-15	2.167	0.239	1.523	6.977	3.67E+06	7.27E+11	1.40E+33
588	J1142+0119	0.005075298	1.50E-20	2.169	1.867	-1.103	8.547	5.36E+09	2.79E+08	4.50E+33
589	J0955-6150	0.001999	1.43E-20	2.17	-0.217	-2.098	7.99	2.22E+09	1.71E+08	7.00E+34
590	J0533+0402	0.963017825	1.60E-16	2.172	-0.574	-0.719	10.467	9.53E+07	3.97E+11	7.10E+30
591	B2111+46	1.014684793	7.15E-16	2.174	-0.048	2.173	8.462	2.25E+07	8.62E+11	2.70E+31
592	J1101-6424	0.005109273	1.80E-21	2.174	-0.153	-2.019	7.708	4.50E+10	9.70E+07	5.30E+32
593	J1226-3223	6.193004085	7.05E-15	2.175	1.094	-1.676	7.649	1.39E+07	6.69E+12	1.20E+30
594	J1709+2313	0.004631196	3.63E-21	2.179	1.161	1.293	7.185	2.02E+10	1.31E+08	1.40E+33
595	J1115-6052	0.259779371	7.23E-15	2.185	-0.005	-2.032	7.697	5.69E+05	1.39E+12	1.60E+34
596	B1953+50	0.518937987	1.37E-15	2.186	0.438	2.133	8.306	5.99E+06	8.54E+11	3.90E+32
597	J1123-6259	0.271437312	5.25E-15	2.187	-0.068	-2.009	7.639	8.19E+05	1.21E+12	1.00E+34
598	J1308-4650	1.058833044	5.26E-16	2.188	0.6	-1.702	7.263	3.19E+07	7.55E+11	1.70E+31
599	J1404+1159	2.650439299	1.38E-15	2.189	2.017	-0.073	7.652	3.05E+07	1.93E+12	2.90E+30
600	J1225-6035	0.626323942	2.88E-16	2.194	0.081	-1.904	7.412	3.45E+07	4.30E+11	4.60E+31
601	J0421-0345	2.161308495	1.16E-15	2.196	-1.252	-0.543	10.221	2.94E+07	1.60E+12	4.50E+30
602	B1913+167	1.616231495	4.06E-16	2.196	0.095	1.694	7.106	6.32E+07	8.19E+11	3.80E+30
603	J0501+4516	5.76209653	5.82E-12	2.2	0.075	0.696	10.586	1.57E+04	1.85E+14	1.20E+33
604	J0821-4300	0.112799455	9.30E-18	2.2	-0.133	-2.165	8.867	1.93E+08	3.27E+10	2.60E+32
605	J1740-5340A	0.003650329	1.68E-19	2.2	-0.456	-0.8	6.502	3.44E+08	7.92E+08	1.40E+35
606	B1317-53	0.279737683	9.25E-15	2.204	0.331	-1.733	7.179	4.79E+05	1.63E+12	1.70E+34
607	J1151-6108	0.101633196	1.03E-14	2.216	0.035	-1.995	7.535	1.57E+05	1.03E+12	3.90E+35
608	J1143-5536	0.685358486	4.85E-16	2.22	0.232	-2.027	7.625	2.24E+07	5.83E+11	5.90E+31
609	J1551-4424	0.674060361	1.88E-16	2.227	0.289	-0.981	6.522	5.68E+07	3.60E+11	2.40E+31
610	J1759-1029	2.512262812	1.57E-14	2.239	0.254	0.672	6.379	2.53E+06	6.36E+12	3.90E+31
611	J1545-4550	0.003575289	5.25E-20	2.247	0.273	-1.051	6.533	1.08E+09	4.38E+08	4.50E+34
612	J2136-5046	0.267322318	8.69E-17	2.248	-1.63	-0.362	6.995	4.87E+07	1.54E+11	1.80E+32
613	J0627+0706	0.475884938	2.98E-14	2.289	-0.08	-0.927	10.591	2.53E+05	3.81E+12	1.10E+34
614	J0324+5239	0.33662023	3.81E-16	2.29	-0.139	1.308	10.375	1.40E+07	3.62E+11	3.90E+32
615	B0138+59	1.222948521	3.91E-16	2.3	-0.084	1.783	9.951	4.95E+07	7.00E+11	8.40E+30
616	B1556-44	0.257056098	1.02E-15	2.3	0.255	-0.983	6.436	4.00E+06	5.18E+11	2.40E+33
617	J0658+0022	0.563294925	9.15E-15	2.301	0.068	-1.265	10.421	9.75E+05	2.30E+12	2.00E+33
618	B1600-27	0.778313193	3.01E-15	2.306	0.742	-0.486	6.371	4.10E+06	1.55E+12	2.50E+32
619	J1036-4926	0.510369403	1.65E-15	2.313	0.311	-2.246	8.042	4.90E+06	9.29E+11	4.90E+32
620	J0652-0142	0.924053918	1.53E-16	2.318	-0.025	-1.314	10.409	9.60E+07	3.80E+11	7.60E+30
621	B1119-54	0.535786514	2.78E-15	2.324	0.238	-2.171	7.706	3.05E+06	1.24E+12	7.10E+32
622	J1054-5946	0.22832425	2.09E-16	2.327	-0.007	-2.204	7.754	1.73E+07	2.21E+11	6.90E+32
623	J1156-5909	1.037931051	1.02E-15	2.331	0.121	-2.094	7.483	1.61E+07	1.04E+12	3.60E+31
624	B1044-57	0.369428088	1.15E-15	2.34	0.03	-2.237	7.813	5.11E+06	6.59E+11	9.00E+32
625	J1054-6452	1.840003541	3.14E-15	2.342	-0.195	-2.18	7.668	9.29E+06	2.43E+12	2.00E+31
626	B0643+80	1.214440512	3.80E-15	2.348	1.06	1.528	9.934	5.07E+06	2.17E+12	8.40E+31
627	J0107+1322	1.197383394	6.87E-16	2.349	-1.781	1.19	9.464	2.76E+07	9.18E+11	1.60E+31
628	J1633-2009	0.935557045	1.07E-15	2.354	0.74	-0.092	6.267	1.39E+07	1.01E+12	5.20E+31
629	B1718-02	0.477715344	8.28E-17	2.357	0.765	0.767	6.407	9.14E+07	2.01E+11	3.00E+31
630	J1105-6107	0.063202131	1.58E-14	2.36	-0.035	-2.21	7.674	6.32E+04	1.01E+12	2.50E+36
631	J1901-0125	0.00279	3.58E-20	2.36	-0.119	1.277	6.519	1.24E+09	3.20E+08	6.50E+34
632	J1657+3304	1.570275525	1.73E-15	2.366	1.428	1.552	7.427	1.43E+07	1.67E+12	1.80E+31
633	J1907+0602	0.106632746	8.68E-14	2.37	-0.037	1.529	6.69	1.95E+04	3.08E+12	2.80E+36
634	J1210-5559	0.279767869	7.25E-16	2.372	0.265	-2.098	7.425	6.11E+06	4.56E+11	1.30E+33
635	B1851-79	1.279193194	1.86E-15	2.375	-1.081	-1.513	7.022	1.09E+07	1.56E+12	3.50E+31
636	J1103-6025	0.396586749	9.90E-16	2.378	-0.012	-2.235	7.687	6.34E+06	6.34E+11	6.30E+32
637	J0520-2553	0.241642176	3.01E-17	2.379	-1.209	-1.533	9.859	1.27E+08	8.63E+10	8.40E+31
638	J1006-6311	0.835797468	5.73E-16	2.381	-0.25	-2.281	7.865	2.31E+07	7.00E+11	3.90E+31
639	J1130-5925	0.680983832	9.52E-16	2.387	0.076	-2.2	7.577	1.13E+07	8.15E+11	1.20E+32
640	B2217+47	0.538468822	2.77E-15	2.387	-0.316	2.341	8.845	3.09E+06	1.23E+12	7.00E+32
641	J0533+6759	0.00438816	1.26E-20	2.392	0.746	1.311	10.357	5.51E+09	2.38E+08	5.90E+33
642	J2329+4743	0.728408609	1.60E-17	2.396	-0.535	2.209	9.259	7.21E+08	1.09E+11	1.60E+30
643	J1143-5158	0.675646047	6.95E-16	2.397	0.395	-2.186	7.6	1.54E+07	6.94E+11	8.90E+31
644	B1054-62	0.422450532	3.58E-15	2.4	-0.124	-2.248	7.669	1.87E+06	1.24E+12	1.90E+33
645	B1745-12	0.394133347	1.21E-15	2.403	0.32	0.577	6.189	5.15E+06	7.00E+11	7.80E+32
646	J1130-5826	0.162323476	1.59E-17	2.408	0.117	-2.223	7.581	1.62E+08	5.14E+10	1.50E+32
647	J0139+5621	1.775343826	7.91E-14	2.41	-0.247	1.847	10.028	3.56E+05	1.20E+13	5.60E+32
648	J0111+6624	4.301872101	8.36E-15	2.412	0.152	1.974	9.878	8.15E+06	6.07E+12	4.10E+30
649	J1759-2922	0.574400268	4.63E-15	2.417	-0.122	0.051	6.087	1.97E+06	1.65E+12	9.60E+32
650	B0037+56	1.118225345	2.88E-15	2.42	-0.235	2.055	9.757	6.15E+06	1.82E+12	8.10E+31
651	B1124-60	0.202736912	2.81E-16	2.426	0.012	-2.236	7.559	1.14E+07	2.42E+11	1.30E+33
652	J1021-5601	0.670026298	5.30E-17	2.429	0.04	-2.366	7.952	1.99E+08	1.91E+11	7.00E+30
653	J1311-3430	0.002560371	2.10E-20	2.43	1.147	-1.695	7.191	1.94E+09	2.34E+08	4.90E+34
654	J1511-5414	0.200383946	4.85E-16	2.43	0.135	-1.474	6.573	6.55E+06	3.15E+11	2.40E+33
655	B1633+24	0.490506513	1.19E-16	2.433	1.56	1.273	7.135	6.51E+07	2.45E+11	4.00E+31
656	J1921+1929	0.002646341	3.82E-20	2.434	0.104	1.958	7.058	1.10E+09	3.22E+08	8.10E+34
657	J2312+6931	0.813374778	6.28E-16	2.436	0.351	2.195	9.497	2.05E+07	7.24E+11	4.60E+31
658	J2006+0148	0.002163557	3.30E-21	2.437	-0.662	1.611	6.796	1.04E+10	8.56E+07	1.30E+34
659	B0331+45	0.269200541	7.35E-18	2.439	-0.341	1.195	10.599	5.80E+08	4.50E+10	1.50E+31
660	B2351+61	0.944783887	1.63E-14	2.439	-0.008	2.188	9.578	9.20E+05	3.97E+12	7.60E+32
661	J0133-6957	0.463473742	1.20E-16	2.441	-1.778	-1.481	7.723	6.12E+07	2.39E+11	4.80E+31
662	B1107-56	0.558254373	2.06E-15	2.447	0.151	-2.305	7.694	4.29E+06	1.09E+12	4.70E+32
663	J1909+1859	0.542451096	9.70E-17	2.447	0.203	1.918	6.994	8.86E+07	2.32E+11	2.40E+31
664	J1148-6415	3.241028503	2.70E-15	2.454	-0.095	-2.201	7.418	1.90E+07	2.99E+12	3.10E+30
665	J1839-0627	0.484913679	1.32E-16	2.457	-0.011	1.07	6.288	5.83E+07	2.56E+11	4.60E+31
666	J1841-7845	0.353602533	1.60E-16	2.459	-1.081	-1.549	6.926	3.50E+07	2.41E+11	1.40E+32
667	J1852-2610	0.336337132	8.77E-17	2.46	-0.508	0.396	6.126	6.08E+07	1.74E+11	9.10E+31
668	B1905+39	1.235757453	5.41E-16	2.46	0.604	2.254	7.722	3.62E+07	8.27E+11	1.10E+31
669	J2045+0912	0.395555112	1.95E-16	2.46	-0.855	1.898	7.189	3.21E+07	2.81E+11	1.20E+32
670	J1246+2253	0.473870558	8.89E-17	2.465	2.458	-0.177	8.44	8.45E+07	2.08E+11	3.30E+31
671	J0152+0948	2.74664729	1.70E-15	2.477	-1.904	0.868	9.826	2.56E+07	2.19E+12	3.20E+30
672	B1719-37	0.236179743	1.09E-14	2.477	-0.022	-0.409	6.057	3.44E+05	1.62E+12	3.30E+34
673	J1611-5847	0.354550317	2.00E-18	2.479	-0.234	-1.363	6.443	2.79E+09	2.70E+10	1.80E+30
674	B1734-35	0.397584746	6.12E-15	2.489	-0.099	-0.296	6.031	1.03E+06	1.58E+12	3.80E+33
675	J0815+0939	0.645161191	1.39E-16	2.491	0.971	-1.27	10.41	7.35E+07	3.03E+11	2.00E+31
676	B1831-04	0.290108193	7.19E-17	2.491	0.076	1.132	6.282	6.39E+07	1.46E+11	1.20E+32
677	B1745-56	1.33230972	2.12E-15	2.493	-0.614	-0.958	6.282	9.96E+06	1.70E+12	3.50E+31
678	J1334-5839	0.107718216	2.16E-17	2.495	0.163	-1.948	6.949	7.90E+07	4.88E+10	6.80E+32
679	B0059+65	1.679164229	5.95E-15	2.5	0.121	2.068	9.899	4.47E+06	3.20E+12	5.00E+31
680	B0820+02	0.864872805	1.05E-16	2.5	0.906	-1.559	10.232	1.31E+08	3.04E+11	6.40E+30
681	J1832-0836	0.002719112	8.28E-21	2.5	0.011	0.981	6.201	5.21E+09	1.52E+08	1.60E+34
682	B1831-03	0.686732837	4.16E-14	2.5	0.099	1.16	6.287	2.62E+05	5.41E+12	5.10E+33
683	J1901+1306	1.830857453	1.31E-16	2.503	0.161	1.79	6.758	2.21E+08	4.96E+11	8.40E+29
684	J1747-1030	1.578792889	4.30E-16	2.511	0.392	0.691	6.118	5.82E+07	8.34E+11	4.30E+30
685	B1854+00	0.356928998	5.46E-17	2.511	-0.035	1.419	6.429	1.04E+08	1.41E+11	4.70E+31
686	J1933+5335	2.05257449	1.26E-15	2.515	0.683	2.413	8.314	2.58E+07	1.63E+12	5.80E+30
687	J0418-4154	0.757118945	1.32E-15	2.519	-1.802	-1.611	9.208	9.09E+06	1.01E+12	1.20E+32
688	J1538-5750	0.506568335	4.20E-17	2.519	-0.081	-1.492	6.472	1.91E+08	1.48E+11	1.30E+31
689	J1747-2958	0.098813976	6.13E-14	2.52	-0.037	-0.031	5.98	2.55E+04	2.49E+12	2.50E+36
690	J1754-3014	1.320490414	4.43E-15	2.52	-0.103	-0.006	5.982	4.72E+06	2.45E+12	7.60E+31
691	J1741+2758	1.360737688	1.84E-15	2.523	1.132	1.785	7.123	1.17E+07	1.60E+12	2.90E+31
692	J0646+0905	0.903913357	7.36E-16	2.525	0.134	-1.036	10.799	1.95E+07	8.25E+11	3.90E+31
693	J1346-4918	0.299625107	3.50E-17	2.529	0.551	-1.832	6.847	1.36E+08	1.04E+11	5.10E+31
694	B1039-19	1.386368075	9.45E-16	2.533	1.401	-2.104	8.662	2.32E+07	1.16E+12	1.40E+31
695	B1110-65	0.33421384	8.25E-16	2.534	-0.231	-2.32	7.506	6.42E+06	5.31E+11	8.70E+32
696	J0024-7204ab	0.003704639	9.82E-21	2.54	-1.793	-1.458	7.445	5.98E+09	1.93E+08	7.60E+33
697	J2241+6941	0.855401266	2.69E-15	2.549	0.426	2.33	9.442	5.03E+06	1.54E+12	1.70E+32
698	J1741-2019	3.904506361	1.63E-14	2.553	0.239	0.302	5.976	3.80E+06	8.06E+12	1.10E+31
699	J1238+2152	1.118590689	1.45E-15	2.555	2.541	-0.268	8.487	1.23E+07	1.29E+12	4.10E+31
700	J0329+1654	0.893319661	2.15E-16	2.557	-1.343	0.434	10.632	6.58E+07	4.44E+11	1.20E+31
701	J1754-3510	0.392703893	7.82E-16	2.574	-0.219	-0.195	5.943	7.96E+06	5.61E+11	5.10E+32
702	J1816-5643	0.217922882	1.93E-18	2.58	-0.793	-0.933	6.229	1.79E+09	2.08E+10	7.40E+30
703	J1054-5943	0.346908958	4.07E-15	2.585	-0.005	-2.448	7.67	1.35E+06	1.20E+12	3.90E+33
704	J1016-5819	0.087834261	6.99E-16	2.587	-0.062	-2.513	7.887	1.99E+06	2.51E+11	4.10E+34
705	J1058-5957	0.616270272	6.57E-16	2.588	-0.006	-2.443	7.647	1.49E+07	6.44E+11	1.10E+32
706	B0136+57	0.272450631	1.07E-14	2.6	-0.183	2.009	10.14	4.03E+05	1.73E+12	2.10E+34
707	J1210-5226	0.424130749	2.22E-17	2.6	0.448	-2.291	7.355	3.02E+08	9.83E+10	1.20E+31
708	B1706-44	0.102459246	9.30E-14	2.6	-0.122	-0.755	6.015	1.75E+04	3.12E+12	3.40E+36
709	J1908+2105	0.002564393	1.38E-20	2.601	0.262	2.085	6.968	2.94E+09	1.91E+08	3.20E+34
710	J0808-3937	0.866349285	4.01E-16	2.602	-0.171	-2.521	9.122	3.42E+07	5.96E+11	2.40E+31
711	J1137-6700	0.556216056	7.17E-17	2.603	-0.234	-2.334	7.372	1.23E+08	2.02E+11	1.60E+31
712	J1903-0848	0.887324641	1.33E-15	2.611	-0.3	1.153	6.176	1.06E+07	1.10E+12	7.50E+31
713	J1646-1910	4.81773583	1.00E-14	2.616	0.75	0.015	5.994	7.61E+06	7.03E+12	3.50E+30
714	J2351+8533	1.011727191	8.80E-16	2.618	1.016	2.053	9.767	1.82E+07	9.55E+11	3.40E+31
715	J1736-3511	0.502802783	1.57E-15	2.626	-0.073	-0.292	5.891	5.07E+06	8.99E+11	4.90E+32
716	B1259-63	0.047762508	2.28E-15	2.632	-0.046	-2.177	7.022	3.32E+05	3.34E+11	8.30E+35
717	B2003-08	0.580871337	4.60E-17	2.632	-0.913	1.384	6.456	2.00E+08	1.65E+11	9.30E+30
718	J1544-0713	0.484129803	1.14E-15	2.633	1.542	-0.003	6.366	6.75E+06	7.51E+11	4.00E+32
719	J1207-4508	1.769827846	1.56E-15	2.634	0.772	-2.286	7.443	1.80E+07	1.68E+12	1.10E+31
720	J1732-1930	0.483769998	1.82E-16	2.634	0.347	0.292	5.905	4.22E+07	3.00E+11	6.30E+31
721	J2007+0910	0.458734826	3.32E-16	2.634	-0.567	1.975	6.852	2.19E+07	3.95E+11	1.40E+32
722	J1653-2054	0.004129145	1.12E-20	2.635	0.649	-0.001	5.946	5.86E+09	2.17E+08	6.30E+33
723	J1813-1246	0.048072247	1.76E-14	2.635	0.112	0.78	5.986	4.34E+04	9.30E+11	6.20E+36
724	J1552+5437	0.002427888	2.80E-21	2.636	1.934	1.785	8.362	1.38E+10	8.34E+07	7.70E+33
725	J1124-5638	0.185559973	9.00E-18	2.639	0.195	-2.454	7.548	3.27E+08	4.14E+10	5.60E+31
726	B1848+12	1.205303285	1.15E-14	2.644	0.273	1.844	6.625	1.66E+06	3.77E+12	2.60E+32
727	J1144-6217	0.850664943	3.08E-14	2.645	-0.02	-2.393	7.374	4.37E+05	5.18E+12	2.00E+33
728	J0058+4950	0.996023452	8.04E-16	2.646	-0.596	2.136	9.943	1.96E+07	9.05E+11	3.20E+31
729	J1929+2121	0.723598503	2.14E-15	2.653	0.081	2.201	7.022	5.36E+06	1.26E+12	2.20E+32
730	J1957+2516	0.003961655	2.74E-20	2.659	-0.092	2.363	7.284	2.29E+09	3.34E+08	1.70E+34
731	J2310+6706	1.944788973	7.60E-17	2.665	0.285	2.433	9.55	4.07E+08	3.88E+11	4.10E+29
732	J0647+0913	1.234853628	6.42E-15	2.666	0.152	-1.092	10.927	3.05E+06	2.85E+12	1.30E+32
733	J0944+4106	2.229431267	4.42E-15	2.673	2.029	-0.013	10.24	7.99E+06	3.18E+12	1.60E+31
734	J0729-1448	0.251658714	1.13E-13	2.679	0.067	-2.063	10.207	3.52E+04	5.40E+12	2.80E+35
735	J1518-0627	0.794996675	4.18E-16	2.679	1.758	-0.171	6.485	3.01E+07	5.83E+11	3.30E+31
736	J0721-2038	0.015542395	4.40E-20	2.682	-0.137	-2.185	10.049	5.60E+09	8.37E+08	4.60E+32
737	J1132-4700	0.32563329	7.77E-16	2.688	0.638	-2.466	7.642	6.64E+06	5.09E+11	8.90E+32
738	J1547-5709	0.004291146	7.45E-21	2.695	-0.097	-1.542	6.292	9.13E+09	1.81E+08	3.70E+33
739	J0922-4949	0.950288537	9.76E-14	2.698	0.008	-2.696	8.395	1.54E+05	9.74E+12	4.50E+33
740	B2319+60	2.256488427	7.04E-15	2.7	-0.027	2.502	9.516	5.08E+06	4.03E+12	2.40E+31
741	J1124-6421	0.479098585	6.20E-16	2.702	-0.143	-2.47	7.413	1.22E+07	5.52E+11	2.20E+32
742	J1755-2725	0.261954678	1.40E-17	2.703	-0.054	0.115	5.8	3.02E+08	6.07E+10	3.00E+31
743	J1808-2701	2.457881778	6.58E-14	2.706	-0.158	0.196	5.806	5.92E+05	1.29E+13	1.70E+32
744	B0756-15	0.682265176	1.62E-15	2.71	0.341	-2.188	10.063	6.68E+06	1.06E+12	2.00E+32
745	J1744-2335	1.683506689	8.33E-16	2.723	0.14	0.212	5.789	3.20E+07	1.20E+12	6.90E+30
746	J2105+6223	2.304878838	5.22E-15	2.723	0.481	2.641	8.956	7.00E+06	3.51E+12	1.70E+31
747	J2333+6145	0.756899382	1.18E-15	2.729	0.013	2.496	9.603	1.02E+07	9.55E+11	1.10E+32
748	J1015-5719	0.139881678	5.74E-14	2.732	-0.028	-2.661	7.881	3.86E+04	2.87E+12	8.30E+35
749	J1542-5034	0.599248003	4.02E-15	2.732	0.17	-1.422	6.173	2.36E+06	1.57E+12	7.40E+32
750	B2324+60	0.233651969	3.53E-16	2.733	0	2.517	9.566	1.05E+07	2.90E+11	1.10E+33
751	J1826-2415	0.004695757	1.74E-20	2.735	-0.272	0.405	5.809	4.29E+09	2.89E+08	6.60E+33
752	J1537-5153	1.528124106	4.17E-15	2.744	0.145	-1.489	6.2	5.80E+06	2.56E+12	4.60E+31
753	J1612-2408	0.923833711	1.57E-15	2.747	0.915	-0.405	5.942	9.30E+06	1.22E+12	7.90E+31
754	J1825-1108	1.925871773	1.90E-15	2.75	0.031	0.943	5.917	1.61E+07	1.94E+12	1.10E+31
755	J1117-6447	1.15527196	2.40E-16	2.752	-0.179	-2.525	7.42	7.63E+07	5.33E+11	6.10E+30
756	J1828+1359	0.74163952	7.29E-16	2.754	0.537	1.843	6.525	1.61E+07	7.44E+11	7.10E+31
757	J1236-5033	0.294759771	1.56E-16	2.755	0.584	-2.318	7.13	3.00E+07	2.17E+11	2.40E+32
758	J0054+6946	0.832911329	7.19E-16	2.758	0.331	2.29	10.001	1.83E+07	7.83E+11	4.90E+31
759	J1535-4114	0.432866134	4.07E-15	2.77	0.567	-1.223	6.081	1.68E+06	1.34E+12	2.00E+33
760	J2215+5135	0.00260962	3.34E-20	2.773	-0.201	2.725	8.974	1.24E+09	2.99E+08	7.40E+34
761	B2148+63	0.380140345	1.68E-16	2.778	0.358	2.67	9.178	3.58E+07	2.56E+11	1.20E+32
762	J0725-1635	0.424311403	9.26E-17	2.778	-0.016	-2.173	10.23	7.26E+07	2.01E+11	4.80E+31
763	B1039-55	1.170867244	6.72E-15	2.789	0.146	-2.688	7.77	2.76E+06	2.84E+12	1.70E+32
764	B2034+19	2.074377078	2.04E-15	2.794	-0.613	2.433	7.27	1.61E+07	2.08E+12	9.00E+30
765	J1012-5830	2.133591214	3.77E-14	2.799	-0.086	-2.721	7.849	8.98E+05	9.07E+12	1.50E+32
766	B1449-64	0.179486804	2.74E-15	2.8	-0.216	-1.949	6.501	1.04E+06	7.10E+11	1.90E+34
767	B2122+13	0.694053479	7.68E-16	2.807	-1.19	2.319	7.458	1.43E+07	7.39E+11	9.10E+31
768	J2012-2029	0.544001871	5.48E-16	2.809	-1.262	0.957	6.18	1.57E+07	5.52E+11	1.30E+32
769	B1919+14	0.618182591	5.60E-15	2.81	0.001	2.123	6.659	1.75E+06	1.88E+12	9.40E+32
770	J1435-6100	0.009347972	2.45E-20	2.814	-0.031	-1.983	6.504	6.05E+09	4.84E+08	1.20E+33
771	J2238+5903	0.162733853	9.70E-14	2.83	0.024	2.712	9.307	2.66E+04	4.02E+12	8.90E+35
772	J1938+0650	1.121561892	5.68E-15	2.832	-0.35	1.966	6.492	3.13E+06	2.55E+12	1.60E+32
773	J0857-4424	0.326786221	2.09E-14	2.833	0.041	-2.824	8.724	2.47E+05	2.65E+12	2.40E+34
774	J1531-5610	0.084206064	1.38E-14	2.841	0.002	-1.674	6.205	9.67E+04	1.09E+12	9.10E+35
775	J0100+8023	1.493600919	3.54E-16	2.848	0.858	2.269	9.992	6.68E+07	7.36E+11	4.20E+30
776	J1156-5707	0.288416774	2.65E-14	2.848	0.246	-2.562	7.281	1.72E+05	2.80E+12	4.40E+34
777	J1932+1500	1.864331867	4.59E-16	2.849	-0.103	2.212	6.707	6.44E+07	9.36E+11	2.80E+30
778	B0052+51	2.115171149	9.54E-15	2.857	-0.573	2.331	10.05	3.51E+06	4.55E+12	4.00E+31
779	B1700-18	0.804341079	1.73E-15	2.857	0.67	0.156	5.727	7.36E+06	1.19E+12	1.30E+32
780	B1818-04	0.598081935	6.33E-15	2.857	0.236	1.224	5.929	1.50E+06	1.97E+12	1.20E+33
781	J1549-5722	0.497772394	4.70E-17	2.858	-0.121	-1.63	6.155	1.68E+08	1.55E+11	1.50E+31
782	B1907+03	2.330262821	4.47E-15	2.859	-0.117	1.782	6.268	8.26E+06	3.27E+12	1.40E+31
783	J1738-2330	1.978847432	8.56E-15	2.87	0.214	0.186	5.644	3.66E+06	4.16E+12	4.40E+31
784	J1822+0705	1.362817392	1.75E-15	2.873	0.483	1.664	6.208	1.24E+07	1.56E+12	2.70E+31
785	J1835-1020	0.302449584	5.92E-15	2.874	-0.065	1.075	5.836	8.10E+05	1.35E+12	8.40E+33
786	J1921+0812	0.210648412	5.36E-15	2.896	-0.148	1.999	6.409	6.22E+05	1.08E+12	2.30E+34
787	J0726-2612	3.442308488	2.93E-13	2.9	-0.235	-2.505	9.942	1.86E+05	3.21E+13	2.80E+32
788	B1046-58	0.123725343	9.61E-14	2.9	0.029	-2.767	7.632	2.04E+04	3.49E+12	2.00E+36
789	B2154+40	1.525265634	3.43E-15	2.9	-0.57	2.843	8.524	7.04E+06	2.32E+12	3.80E+31
790	J1604-3142	0.883890454	2.65E-17	2.902	0.767	-0.766	5.808	5.29E+08	1.55E+11	1.50E+30
791	J1824+1014	0.004065916	5.37E-21	2.904	0.537	1.799	6.284	1.20E+10	1.50E+08	3.20E+33
792	J1132-5627	0.175166247	6.80E-17	2.911	0.241	-2.688	7.408	4.08E+07	1.10E+11	5.00E+32
793	B1736-29	0.322886477	7.87E-15	2.911	0.054	-0.04	5.59	6.50E+05	1.61E+12	9.20E+33
794	J0905-4536	0.988280597	1.49E-16	2.912	0.051	-2.908	8.64	1.05E+08	3.88E+11	6.10E+30
795	J1753-1914	0.062954889	2.02E-18	2.915	0.174	0.468	5.628	4.93E+08	1.14E+10	3.20E+32
796	J0804-3647	2.191986896	4.21E-15	2.916	-0.146	-2.79	9.335	8.25E+06	3.07E+12	1.60E+31
797	B1718-32	0.477157948	6.45E-16	2.928	0.129	-0.277	5.588	1.17E+07	5.61E+11	2.30E+32
798	J2033+0042	5.013400111	9.69E-15	2.934	-1.108	1.95	6.609	8.20E+06	7.05E+12	3.00E+30
799	J1107-6143	1.799395668	1.56E-13	2.937	-0.067	-2.743	7.452	1.83E+05	1.69E+13	1.10E+33
800	J1812-2748	0.236983307	3.16E-16	2.941	-0.236	0.202	5.575	1.19E+07	2.77E+11	9.40E+32
801	J1901+0621	0.832001949	1.80E-17	2.942	0.039	1.879	6.236	7.32E+08	1.24E+11	1.20E+30
802	B1607-52	0.182494802	5.17E-15	2.949	-0.025	-1.433	5.923	5.59E+05	9.83E+11	3.40E+34
